image,domain,num_detections,mean_confidence,latency_sec
000017.png,blurred,1,0.28320449590682983,0.010399818420410156
000017.png,deblurred,0,0.0,0.008612871170043945
000017.png,sharp,3,0.5336604317029318,0.009198188781738281
000018.png,blurred,3,0.4538153608640035,0.00972604751586914
000018.png,deblurred,1,0.27691540122032166,0.008671760559082031
000018.png,sharp,4,0.46925439685583115,0.009094953536987305
000019.png,blurred,0,0.0,0.008852481842041016
000019.png,deblurred,0,0.0,0.008258581161499023
000019.png,sharp,4,0.4230595976114273,0.008657455444335938
000020.png,blurred,3,0.3710369070370992,0.009823322296142578
000020.png,deblurred,0,0.0,0.008195161819458008
000020.png,sharp,4,0.45396433025598526,0.008824825286865234
000021.png,blurred,3,0.35522546370824176,0.010050058364868164
000021.png,deblurred,0,0.0,0.008257150650024414
000021.png,sharp,3,0.6109135448932648,0.008875846862792969
000022.png,blurred,2,0.2734500467777252,0.009674310684204102
000022.png,deblurred,0,0.0,0.008084774017333984
000022.png,sharp,2,0.486870601773262,0.009575128555297852
000023.png,blurred,1,0.6957746148109436,0.010056734085083008
000023.png,deblurred,0,0.0,0.008581876754760742
000023.png,sharp,3,0.5667162239551544,0.008768558502197266
000024.png,blurred,0,0.0,0.009490251541137695
000024.png,deblurred,0,0.0,0.008331060409545898
000024.png,sharp,4,0.4309923127293587,0.008999109268188477
000025.png,blurred,0,0.0,0.009893417358398438
000025.png,deblurred,1,0.37879207730293274,0.008975028991699219
000025.png,sharp,3,0.5375686387221018,0.009165048599243164
000026.png,blurred,3,0.3300876220067342,0.009980201721191406
000026.png,deblurred,0,0.0,0.008183002471923828
000026.png,sharp,3,0.6300053596496582,0.008620738983154297
000027.png,blurred,3,0.28228901823361713,0.010029315948486328
000027.png,deblurred,0,0.0,0.008340597152709961
000027.png,sharp,4,0.38746748119592667,0.008788585662841797
000028.png,blurred,0,0.0,0.009261369705200195
000028.png,deblurred,0,0.0,0.008409500122070312
000028.png,sharp,3,0.5497273802757263,0.009006500244140625
000029.png,blurred,1,0.6765831708908081,0.014128923416137695
000029.png,deblurred,0,0.0,0.009172439575195312
000029.png,sharp,5,0.4587106227874756,0.009380817413330078
000030.png,blurred,1,0.28273022174835205,0.010241031646728516
000030.png,deblurred,0,0.0,0.008158206939697266
000030.png,sharp,3,0.5474490523338318,0.008761405944824219
000031.png,blurred,5,0.46466882824897765,0.010192632675170898
000031.png,deblurred,1,0.28668323159217834,0.008774042129516602
000031.png,sharp,5,0.5224412441253662,0.00858449935913086
000032.png,blurred,1,0.389551043510437,0.009904623031616211
000032.png,deblurred,0,0.0,0.008271455764770508
000032.png,sharp,4,0.6178937703371048,0.008632183074951172
000033.png,blurred,2,0.5147859454154968,0.010209798812866211
000033.png,deblurred,1,0.2824203372001648,0.008672237396240234
000033.png,sharp,4,0.6489723101258278,0.00847625732421875
000034.png,blurred,1,0.7827770113945007,0.009404420852661133
000034.png,deblurred,1,0.5058531165122986,0.009112119674682617
000034.png,sharp,5,0.5329783737659455,0.008648395538330078
000035.png,blurred,1,0.7370816469192505,0.011929512023925781
